Subject	Lg_Mode	English1	Spanish1	English2	Spanish2	English_TOTAL	Spanish_TOTAL
FC_BE_01	English	6	2	6	6	12	8
FC_BE_02	English	6	8	4	4	10	12
FC_BE_04	English	6	6	6	8	12	14
FC_BE_06	English	8	6	4	6	12	12
FC_BE_07	English	4	6	4	6	8	12
FC_BE_08	English	4	6	6	8	10	14
FC_BE_09	English	6	6	8	4	14	10
FC_BE_10	English	6	2	6	6	12	8
FC_BE_11	English	6	2	4	4	10	6
FC_BE_13	English	6	4	6	8	12	12
FC_BE_24	English	8	4	8	6	16	10
FC_BE_25	English	6	4	6	4	12	8
FC_BE_26	English	6	2	8	4	14	6
FC_BE_27	English	6	6	6	4	12	10
FC_BE_28	English	2	4	4	6	6	10
FC_BE_29	English	6	4	6	6	12	10
FC_BE_30	English	6	6	6	4	12	10
FC_BE_31	English	6	6	4	2	10	8
FC_BE_32	English	6	6	6	4	12	10
FC_BE_33	English	6	8	6	8	12	16
FC_BE_14	Spanish	8	4	6	6	14	10
FC_BE_15	Spanish	8	6	4	6	12	12
FC_BE_16	Spanish	8	8	6	4	14	12
FC_BE_17	Spanish	4	4	6	6	10	10
FC_BE_18	Spanish	6	8	4	2	10	10
FC_BE_20	Spanish	8	6	6	4	14	10
FC_BE_21	Spanish	8	8	4	6	12	14
FC_BE_22	Spanish	6	4	6	4	12	8
FC_BE_23	Spanish	6	4	6	8	12	12
FC_BE_34	Spanish	4	8	6	6	10	14
FC_BE_35	Spanish	8	6	8	4	16	10
FC_BE_36	Spanish	6	6	6	6	12	12
FC_BE_38	Spanish	4	6	6	4	10	10
FC_BE_39	Spanish	10	8	6	6	16	14
FC_BE_40	Spanish	4	6	4	8	8	14
FC_BE_41	Spanish	6	4	6	4	12	8
FC_BE_43	Spanish	10	6	6	4	16	10
FC_BE_44	Spanish	8	4	6	4	14	8
FC_BE_45	Spanish	6	6	2	6	8	12
FC_BE_53	Spanish	8	4	6	4	14	8
