Subject	Condition	Inst_Lg	Slide	Still	Sound File	Language	Context	Correct	Response	Error
FC_BE_01	A_E	E	A	A1	BESF_09-CSES1	E	CS	Spanish	English	0
FC_BE_01	A_E	E	A	A10	BESF_22-CSES4	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	A	A2	BESF_09-CSES3	E	CS	Spanish	English	0
FC_BE_01	A_E	E	A	A3	BESM_07-E2	E	ML	English	Spanish	0
FC_BE_01	A_E	E	A	A4	BESF_10-E3	E	ML	English	English	1
FC_BE_01	A_E	E	A	A5	BESF_23-CSES1	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	A	A6	BESF_22-CSES3	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	A	A7	BESF_23-E2	E	ML	English	English	1
FC_BE_01	A_E	E	A	A8	BESF_10-E1	E	ML	English	English	1
FC_BE_01	A_E	E	A	A9	BESM_07-E5	E	ML	English	Spanish	0
FC_BE_01	A_E	E	B	B1	BESF_09-S6	S	ML	Spanish	English	0
FC_BE_01	A_E	E	B	B10	BESF_09-S8	S	ML	Spanish	English	0
FC_BE_01	A_E	E	B	B2	BESF_09-CSSE5	S	CS	English	Spanish	0
FC_BE_01	A_E	E	B	B3	BESF_09-CSSE4	S	CS	English	Spanish	0
FC_BE_01	A_E	E	B	B4	BESF_20-CSSE3	S	CS	English	Spanish	0
FC_BE_01	A_E	E	B	B5	BESF_18-S1	S	ML	Spanish	English	0
FC_BE_01	A_E	E	B	B6	BESF_09-S10	S	ML	Spanish	English	0
FC_BE_01	A_E	E	B	B7	BESF_20-CSSE4	S	CS	English	English	1
FC_BE_01	A_E	E	B	B8	BESF_18-CSSE2	S	CS	English	Spanish	0
FC_BE_01	A_E	E	B	B9	BESF_20-S1	S	ML	Spanish	Spanish	1
FC_BE_01	A_E	E	C	C1	BESF_09-CSES4	E	CS	Spanish	English	0
FC_BE_01	A_E	E	C	C10	BESM_07-E4	E	ML	English	English	1
FC_BE_01	A_E	E	C	C2	BESF_22-CSES5	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	C	C3	BESF_23-E1	E	ML	English	Spanish	0
FC_BE_01	A_E	E	C	C4	BESM_07-E3	E	ML	English	English	1
FC_BE_01	A_E	E	C	C5	BESF_22-CSES2	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	C	C6	BESF_10-E4	E	ML	English	English	1
FC_BE_01	A_E	E	C	C7	BESF_18-CSES1	E	CS	Spanish	English	0
FC_BE_01	A_E	E	C	C8	BESF_20-CSES1	E	CS	Spanish	Spanish	1
FC_BE_01	A_E	E	C	C9	BESF_23-E3	E	ML	English	Spanish	0
FC_BE_01	A_E	E	D	D1	BESF_18-S2	S	ML	Spanish	Spanish	1
FC_BE_01	A_E	E	D	D10	BESF_09-S3	S	ML	Spanish	Spanish	1
FC_BE_01	A_E	E	D	D2	BESF_09-S9	S	ML	Spanish	Spanish	1
FC_BE_01	A_E	E	D	D3	BESF_10-CSSE1	S	CS	English	English	1
FC_BE_01	A_E	E	D	D4	BESM_07-CSSE1	S	CS	English	Spanish	0
FC_BE_01	A_E	E	D	D5	BESF_20-CSSE1	S	CS	English	English	1
FC_BE_01	A_E	E	D	D6	BESF_09-S17	S	ML	Spanish	English	0
FC_BE_01	A_E	E	D	D7	BESF_22-S1	S	ML	Spanish	English	0
FC_BE_01	A_E	E	D	D8	BESF_22-CSSE1	S	CS	English	English	1
FC_BE_01	A_E	E	D	D9	BESF_09-CSSE2	S	CS	English	Spanish	0
FC_BE_02	A_E	E	A	A1	BESF_09-CSES1	E	CS	Spanish	English	0
FC_BE_02	A_E	E	A	A10	BESF_22-CSES4	E	CS	Spanish	Spanish	1
FC_BE_02	A_E	E	A	A2	BESF_09-CSES3	E	CS	Spanish	English	0
FC_BE_02	A_E	E	A	A3	BESM_07-E2	E	ML	English	English	1
FC_BE_02	A_E	E	A	A4	BESF_10-E3	E	ML	English	Spanish	0
FC_BE_02	A_E	E	A	A5	BESF_23-CSES1	E	CS	Spanish	Spanish	1
FC_BE_02	A_E	E	A	A6	BESF_22-CSES3	E	CS	Spanish	Spanish	1
FC_BE_02	A_E	E	A	A7	BESF_23-E2	E	ML	English	English	1
FC_BE_02	A_E	E	A	A8	BESF_10-E1	E	ML	English	Spanish	0
FC_BE_02	A_E	E	A	A9	BESM_07-E5	E	ML	English	English	1
FC_BE_02	A_E	E	B	B1	BESF_09-S6	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	B	B10	BESF_09-S8	S	ML	Spanish	English	0
FC_BE_02	A_E	E	B	B2	BESF_09-CSSE5	S	CS	English	English	1
FC_BE_02	A_E	E	B	B3	BESF_09-CSSE4	S	CS	English	English	1
FC_BE_02	A_E	E	B	B4	BESF_20-CSSE3	S	CS	English	Spanish	0
FC_BE_02	A_E	E	B	B5	BESF_18-S1	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	B	B6	BESF_09-S10	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	B	B7	BESF_20-CSSE4	S	CS	English	English	1
FC_BE_02	A_E	E	B	B8	BESF_18-CSSE2	S	CS	English	English	1
FC_BE_02	A_E	E	B	B9	BESF_20-S1	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	C	C1	BESF_09-CSES4	E	CS	Spanish	English	0
FC_BE_02	A_E	E	C	C10	BESM_07-E4	E	ML	English	English	1
FC_BE_02	A_E	E	C	C2	BESF_22-CSES5	E	CS	Spanish	English	0
FC_BE_02	A_E	E	C	C3	BESF_23-E1	E	ML	English	English	1
FC_BE_02	A_E	E	C	C4	BESM_07-E3	E	ML	English	Spanish	0
FC_BE_02	A_E	E	C	C5	BESF_22-CSES2	E	CS	Spanish	Spanish	1
FC_BE_02	A_E	E	C	C6	BESF_10-E4	E	ML	English	Spanish	0
FC_BE_02	A_E	E	C	C7	BESF_18-CSES1	E	CS	Spanish	Spanish	1
FC_BE_02	A_E	E	C	C8	BESF_20-CSES1	E	CS	Spanish	English	0
FC_BE_02	A_E	E	C	C9	BESF_23-E3	E	ML	English	Spanish	0
FC_BE_02	A_E	E	D	D1	BESF_18-S2	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	D	D10	BESF_09-S3	S	ML	Spanish	Spanish	1
FC_BE_02	A_E	E	D	D2	BESF_09-S9	S	ML	Spanish	English	0
FC_BE_02	A_E	E	D	D3	BESF_10-CSSE1	S	CS	English	Spanish	0
FC_BE_02	A_E	E	D	D4	BESM_07-CSSE1	S	CS	English	Spanish	0
FC_BE_02	A_E	E	D	D5	BESF_20-CSSE1	S	CS	English	Spanish	0
FC_BE_02	A_E	E	D	D6	BESF_09-S17	S	ML	Spanish	English	0
FC_BE_02	A_E	E	D	D7	BESF_22-S1	S	ML	Spanish	English	0
FC_BE_02	A_E	E	D	D8	BESF_22-CSSE1	S	CS	English	English	1
FC_BE_02	A_E	E	D	D9	BESF_09-CSSE2	S	CS	English	English	1
FC_BE_04	A_E	E	A	A1	BESF_09-CSES1	E	CS	Spanish	English	0
FC_BE_04	A_E	E	A	A10	BESF_22-CSES4	E	CS	Spanish	English	0
FC_BE_04	A_E	E	A	A2	BESF_09-CSES3	E	CS	Spanish	Spanish	1
FC_BE_04	A_E	E	A	A3	BESM_07-E2	E	ML	English	Spanish	0
FC_BE_04	A_E	E	A	A4	BESF_10-E3	E	ML	English	English	1
FC_BE_04	A_E	E	A	A5	BESF_23-CSES1	E	CS	Spanish	Spanish	1
FC_BE_04	A_E	E	A	A6	BESF_22-CSES3	E	CS	Spanish	Spanish	1
FC_BE_04	A_E	E	A	A7	BESF_23-E2	E	ML	English	English	1
FC_BE_04	A_E	E	A	A8	BESF_10-E1	E	ML	English	Spanish	0
FC_BE_04	A_E	E	A	A9	BESM_07-E5	E	ML	English	English	1
FC_BE_04	A_E	E	B	B1	BESF_09-S6	S	ML	Spanish	Spanish	1
FC_BE_04	A_E	E	B	B10	BESF_09-S8	S	ML	Spanish	English	0
