Subject	English1	Spanish1	English2	Spanish2	English_TOTAL	Spanish_TOTAL
FC_BE_01	6	2	6	6	12	8
FC_BE_02	6	8	4	4	10	12
FC_BE_04	6	6	6	8	12	14
FC_BE_06	8	6	4	6	12	12
FC_BE_07	4	6	4	6	8	12
FC_BE_08	4	6	6	8	10	14
FC_BE_09	6	6	8	4	14	10
FC_BE_10	6	2	6	6	12	8
FC_BE_11	6	2	4	4	10	6
FC_BE_13	6	4	6	8	12	12
FC_BE_24	8	4	8	6	16	10
FC_BE_25	6	4	6	4	12	8
FC_BE_26	6	2	8	4	14	6
FC_BE_27	6	6	6	4	12	10
FC_BE_28	2	4	4	6	6	10
FC_BE_29	6	4	6	6	12	10
FC_BE_30	6	6	6	4	12	10
FC_BE_31	6	6	4	2	10	8
FC_BE_32	6	6	6	4	12	10
FC_BE_33	6	8	6	8	12	16
