Subject	English1	Spanish1	English2	Spanish2	English_TOTAL	Spanish_TOTAL
FC_BE_14	8	4	6	6	14	10
FC_BE_15	8	6	4	6	12	12
FC_BE_16	8	8	6	4	14	12
FC_BE_17	4	4	6	6	10	10
FC_BE_18	6	8	4	2	10	10
FC_BE_20	8	6	6	4	14	10
FC_BE_21	8	8	4	6	12	14
FC_BE_22	6	4	6	4	12	8
FC_BE_23	6	4	6	8	12	12
FC_BE_34	4	8	6	6	10	14
FC_BE_35	8	6	8	4	16	10
FC_BE_36	6	6	6	6	12	12
FC_BE_38	4	6	6	4	10	10
FC_BE_39	10	8	6	6	16	14
FC_BE_40	4	6	4	8	8	14
FC_BE_41	6	4	6	4	12	8
FC_BE_43	10	6	6	4	16	10
FC_BE_44	8	4	6	4	14	8
FC_BE_45	6	6	2	6	8	12
FC_BE_53	8	4	6	4	14	8
